run_id,trade_date,order_leg,symbol,side,qty_submitted,order_type,time_in_force,extended_hours,client_order_id,alpaca_order_id,order_submit_ts,order_status_initial,order_status_final,filled_qty,filled_avg_price,filled_at,timed_out,timeout_minutes,reject_reason
2a1b8fea-12a7-41ef-9629-23811f754a4b,2026-04-01,open,TQQQ,OrderSide.BUY,1151,market,day,False,daily_2026-04-01_TQQQ_BUY_b546d952,288f92fc-aa9e-480d-92cb-6aa4b8db1cb5,2026-04-01 15:53:17.673845+00:00,,OrderStatus.FILLED,1151,43.700572,2026-04-01 15:53:24.873085+00:00,False,3,
a8d759f7-9b7b-4a73-9e87-3ddcff738a52,2026-04-01,reconcile,TQQQ,OrderSide.BUY,1151,OrderType.MARKET,TimeInForce.DAY,False,daily_2026-04-01_TQQQ_BUY_b546d952,288f92fc-aa9e-480d-92cb-6aa4b8db1cb5,2026-04-01 15:53:17.673845+00:00,,OrderStatus.FILLED,1151,43.700572,2026-04-01 15:53:24.873085+00:00,False,,
e00ce121-f30e-4ee5-91c5-6a1685d4712b,2026-04-02,open,TQQQ,OrderSide.BUY,24,market,day,False,daily_2026-04-02_TQQQ_BUY_390ae9f0,33e20a80-9d8f-47a0-bec8-153ee439a5a2,2026-04-02 15:35:33.265182+00:00,,OrderStatus.FILLED,24,43.07,2026-04-02 15:35:34.119474+00:00,False,3,
