run_id,run_source,dry_run,git_branch,git_commit_sha,trade_date,decision_timestamp_et,execution_timestamp_et,clock_is_open,clock_timestamp_et,next_open_et,next_close_et,seconds_to_open,signal_date,qqq_open,qqq_high,qqq_low,qqq_close,ma250,ma50,ann_vol,base_regime,confirmed_regime,final_regime,raw_target_weight,use_ma_confirmation,use_vol_targeting,vol_target_annual,max_position_pct,tqqq_leverage,max_effective_exposure,target_instrument,target_shares,target_notional_est,price_estimate,price_estimate_source,equity_before,cash_before,buying_power_before,last_equity,daily_pnl_pct,tqqq_qty_before,tqqq_mv_before,sqqq_qty_before,sqqq_mv_before,equity_after,cash_after,tqqq_qty_after,sqqq_qty_after,status,reason_code,orders_submitted,orders_filled,error_message,kill_switch_triggered,kill_switch_reason,duplicate_guard_hit,already_at_target
90c11463-cea8-4e54-927d-9d0f861e96d3,github-pre,False,main,8720f20,2026-05-01,2026-05-01T11:32:59.138361-04:00,2026-05-01T11:32:59.255710-04:00,True,2026-05-01 11:32:58.913385-04:00,2026-05-04 09:30:00-04:00,2026-05-01 16:00:00-04:00,251821,2026-05-01,669.16,675.76,668.8,674.71,588.9966400000001,612.673,0.1542343834548811,bull,bull,bull,2.593455434773491,True,True,0.4,3.0,3.0,3.0,TQQQ,1473,96510.96,65.52,position_current,111677.45,15428.57,15428.57,108768.83,0.026741,1469,96248.88,0,0.0,111706.83,15166.41,1473,0,SUBMITTED,REBALANCE,1,1,,,,,
5c92e72e-40c5-4fb0-9512-56efd5e0fa1b,github-post,False,main,a04fd14,2026-05-01,2026-05-01T11:41:41.122087-04:00,2026-05-01T11:41:41.122087-04:00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,111933.08,15166.41,15166.41,108768.83,0.029092,1473,96766.6728,0,0.0,111933.08,15166.41,1473,0,RECONCILED,RECONCILE,1,1,,,,,
dce5ec61-fae2-4752-8ead-004e2ff1cb36,github-pre,False,main,930a819,2026-05-04,2026-05-04T12:18:26.336693-04:00,2026-05-04T12:18:26.382225-04:00,True,2026-05-04 12:18:24.682773-04:00,2026-05-05 09:30:00-04:00,2026-05-04 16:00:00-04:00,76295,2026-05-04,674.66,676.73,668.9,670.37,589.73216,613.893,0.16056505229763923,bull,bull,bull,2.491202128209821,True,True,0.4,3.0,3.0,3.0,TQQQ,1419,91181.96,64.2579,position_current,109818.3,15166.41,15166.41,111353.31,-0.013785,1473,94651.8867,0,0.0,109821.37,18636.43,1419,0,SUBMITTED,REBALANCE,1,1,,,,,
19cb865b-9fd5-46b0-b374-42bbd7a7bafe,github-post,False,main,c197ce6,2026-05-04,2026-05-04T12:23:18.403543-04:00,2026-05-04T12:23:18.403543-04:00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,110275.45,18636.43,18636.43,111353.31,-0.00968,1419,91639.02,0,0.0,110275.45,18636.43,1419,0,RECONCILED,RECONCILE,1,1,,,,,
54bbcb2e-c74e-471e-bdc0-3fc529f90079,github-post,False,main,53a0bd9,2026-05-05,2026-05-05T12:15:12.977069-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,114404.74,18636.43,18636.43,111353.31,0.027403,1419,95768.31,0,0.0,114404.74,18636.43,1419,0,SKIPPED,NO_ORDERS_TO_RECONCILE,0,0,,,,,
846eeaf0-d84c-4016-8347-2bb32597a4f1,github-pre,False,main,689f797,2026-05-05,2026-05-05T12:24:38.261317-04:00,2026-05-05T12:24:38.354625-04:00,True,2026-05-05 12:24:38.090420-04:00,2026-05-06 09:30:00-04:00,2026-05-05 16:00:00-04:00,75922,2026-05-05,677.96,681.94,677.51,681.64,590.54312,615.5478,0.15677989759764852,bull,bull,bull,2.5513475013648654,True,True,0.4,3.0,3.0,3.0,TQQQ,1441,97188.24,67.445,position_current,114340.89,18636.43,18636.43,111353.31,0.02683,1419,95704.455,0,0.0,114321.9,17152.53,1441,0,SUBMITTED,REBALANCE,1,1,,,,,
1f7ef803-54f4-49ed-a540-0ab79f9d5408,github-pre,False,main,b97b577,2026-05-06,2026-05-06T12:14:20.888696-04:00,2026-05-06T12:14:21.003696-04:00,True,2026-05-06 12:14:20.816283-04:00,2026-05-07 09:30:00-04:00,2026-05-06 16:00:00-04:00,76539,2026-05-06,687.78,692.83,686.48,692.83,591.38112,617.2464,0.13760129401489518,bull,bull,bull,2.9069494067163384,True,True,0.4,3.0,3.0,3.0,TQQQ,1413,99964.1,70.746,position_current,119097.51,17152.52,17152.52,114261.51,0.042324,1441,101944.986,0,0.0,119110.34,19133.52,1413,0,SUBMITTED,REBALANCE,1,1,,True,POSITION_CAP: TQQQ market_value=101944.99 > limit 100000.00,,
a396e1e0-af41-4d76-867c-5ff886a9c270,github-post,False,main,c1a822a,2026-05-06,2026-05-06T12:19:37.130009-04:00,2026-05-06T12:19:37.130009-04:00,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,118877.19,19133.52,19133.52,114261.51,0.040396,1413,99743.67,0,0.0,118877.19,19133.52,1413,0,RECONCILED,RECONCILE,1,1,,,,,
